Order_ID,Phone_Number,Payment_Method,Transaction_Status
e32af09a-b6ab-497e-af3a-331e4d4ed6e7,259.603.6134,Debit Card,completed
86eb8859-14ab-4d4e-9267-c5826f4e0c8e,+1-869-659-4272x982,Credit Card,completed
7379b560-8897-4623-92a2-523ddcdc43a1,292.840.0975x724,PayPal,pending
30c57f86-2fed-43c0-a399-654c2c3bb18d,+1-643-561-3912x262,PayPal,completed
41c29d81-9622-43c1-b537-7cdb320d3e6a,3424148376,PayPal,pending
0b8915d7-0614-47c4-88be-25aae8fa477b,833-392-3750x99267,Debit Card,pending
5f05f9e8-57c3-4610-bc41-3c2ccbe3e783,824-668-9191,PayPal,completed
0abf28e1-7a76-47d5-9d66-2fe2ca920fda,+1-683-714-3681,PayPal,completed
73129f55-e6fd-45b1-a3ac-fef5fae85dd7,+1-261-681-8748x0788,PayPal,completed
17647c6b-d1cc-4c86-a1d1-b06641de1574,+1-269-289-6161,PayPal,completed
a16962fd-0ae2-45cd-bc79-bb5c8fc3c76c,001-700-979-7231x93087,PayPal,pending
444dee20-f3e7-4a46-94bf-86f28f3218db,612-529-7477x25482,Debit Card,pending
2bad61d7-1e00-4280-9c63-851860da9097,(898)706-3931,Debit Card,completed
f4ca896e-9500-4cad-830b-1d4c264d2e17,001-515-658-2264,Debit Card,pending
7b10e89e-29e2-49df-951b-cb69f5d63fd7,245-597-6001x88072,PayPal,pending
596d5762-2de9-4c0f-aa7c-7e6eefefb2fb,(333)659-7851x16303,Credit Card,pending
4e830cf0-ea4b-451d-b5ed-753db1dfe1fc,001-236-629-1880,PayPal,pending
0e137c97-97a6-4818-848b-de4c93238bb7,537.897.4689,Credit Card,pending
069722e1-6803-47af-9c47-b07bc05c7671,874.512.5898x164,PayPal,pending
5c3f5e4c-676e-4223-b23d-74e93cb85325,458-731-6189x123,Debit Card,pending
18cc409c-c3fe-4a0a-badd-25b7c0bd5e7e,+1-357-530-7289x103,PayPal,pending
5584dd7c-bbe9-44f2-8928-5be0cb2b912b,(315)231-6007,Credit Card,completed
e2f1292e-f7d4-4921-9ca1-20d8304b94ab,7602861052,Credit Card,completed
21626bc3-a6b1-4d05-833b-1765a2763852,517-796-3040x5556,Debit Card,pending
603fcde8-7cd1-4101-9c18-a3b36b435a7c,+1-303-625-1760x74653,PayPal,completed
96af1605-fe1f-494a-ad0a-77a9c6d3568a,381.685.3371x40478,Debit Card,completed
ecb2c286-1e0d-468d-a16a-ded8b8624aa0,705-986-2149x032,Credit Card,pending
6a7e8bad-7b5d-4f3f-8c9e-5541ccbfbe37,001-806-725-0953x098,Credit Card,completed
430d7413-f257-401f-b302-4354e6b718b4,+1-751-600-4376x4785,Debit Card,completed
1ad65d13-2045-45e0-b163-645af742e15f,508.640.2112x74967,Debit Card,pending
7f6d7fd7-c53d-495e-8568-c50e96c7a122,+1-471-881-2109x34962,Credit Card,completed
57d7cba7-1eeb-4305-8322-a5923f89ec8e,+1-306-439-1399x0241,Debit Card,pending
18ad0b1e-12ad-49f2-82b4-f6b05970f153,430.201.6846,Credit Card,pending
997e4481-e229-4217-8442-8c00b89b8b53,(478)499-4505x3755,PayPal,pending
84b0be99-00e5-4607-aa54-12f95f1dcdb0,(715)245-5797,Credit Card,pending
dfe2d902-1fb6-4a4d-ba6b-dba989fb8a2d,001-444-792-8305x920,PayPal,pending
3454381b-011b-4716-881d-d80693be949a,6745652741,Debit Card,pending
1860702a-d1e1-4787-bdcc-22a7c6600e06,(651)667-9355x205,Debit Card,completed
f5bb251f-db0b-46b0-848c-65aa5b9e9550,740-210-3364x501,Credit Card,completed
c61cc74d-2164-408b-898a-acb5e4e44d11,546.700.2470x30324,Debit Card,completed
04ece03c-e0b0-4ca2-ba08-dd28679ee8d3,+1-414-327-6631x4283,Credit Card,pending
3bd37a36-78b4-4665-a60e-491c763c40f8,395-909-7465x37184,Credit Card,pending
c66780f2-8a1e-4fca-870b-181b52cf63cd,654-866-2345,Debit Card,completed
bc4de080-826e-4788-ba5a-7da88b855264,6479059434,Credit Card,pending
aabd8e91-6eda-4525-b56d-06b0854061a9,+1-796-732-5288x2522,PayPal,completed
a40613f7-16d2-4d7a-859b-f8012de2ecb2,297-973-4529x39996,Credit Card,completed
98d53cdf-ccd5-46b3-b922-aa5f1bfd15e2,427.666.3085,Debit Card,completed
00d4c621-4a00-4647-94f9-74010986f748,261.214.4632x938,Debit Card,completed
2eea1c97-7afd-4b9d-b9ac-aebd9b709dfd,(917)860-7423x496,Debit Card,completed
92ff9371-ea5d-4ec7-9b4e-94a4ffbd7e49,+1-346-466-5916x539,Debit Card,pending
155520c0-7774-4203-bcd5-dc3c2466edcc,+1-734-606-1951x35902,Debit Card,pending
fc5e0698-68cd-4411-98a3-baf3e4d6c5b4,+1-719-442-3234x094,PayPal,pending
ab7ddbc5-6ee9-4081-aeb7-88fb3af82b26,(236)786-6541x93923,Debit Card,pending
4f605e9d-47ae-4819-b2c0-a58f467ad3ae,420.488.0369x815,PayPal,pending
00345807-1ad9-448f-85db-610cea1bdbb5,001-850-636-9986,PayPal,completed
d92b9388-af6c-48d8-a433-060dae45b934,001-900-692-3670,PayPal,completed
aac2eb8f-2b26-452f-ae67-7bc83c4d7166,+1-481-673-3179x278,PayPal,completed
438ce487-07e7-4a89-ba3d-2c8c04227f16,(952)841-0552,Debit Card,completed
e7db9e18-d543-4189-a7c0-6f559134e8a9,5534307505,Debit Card,pending
3ba80f45-b252-4f4f-867c-a0bd4aaf59ce,+1-202-206-0974x68612,Credit Card,pending
92dab93e-1d44-4cf0-b6a3-362e0d5c4259,+1-502-449-8103x4873,Credit Card,pending
06c0cac9-e3a2-4949-b2e1-2fd35a355a63,349-273-4755x2130,PayPal,completed
60fed19d-140c-4d0e-8d78-f3f7109990c6,626-632-8304,Debit Card,completed
e30e7b5a-4af8-45ce-bf1a-dcd6bf058355,(450)820-6135,PayPal,pending
0c5531d4-e01e-4880-98e7-62aa02780134,537-776-5371,Debit Card,pending
b260cb3c-d156-476b-b9be-3d4fd5ee21c2,(988)220-2115x93077,Debit Card,pending
e220489b-3d05-4a8e-b928-1850607bded5,+1-905-347-1744,Debit Card,pending
41a2032e-c7bf-4779-8052-ea23930310d9,567.660.4444x88870,PayPal,completed
33e8f9e0-3e82-4bef-a386-2a59a87d5b55,3472352864,Credit Card,completed
7a9f8cc8-5a8a-4a8e-8378-860a619c8317,(956)454-7442x7279,PayPal,pending
836842da-55bc-4849-99b8-28333ab20ba4,684-629-6812,Debit Card,completed
1fe47c23-24f4-4cb9-8aba-e91a1d2e4739,720-375-6574x039,PayPal,pending
5086d05c-98d4-46a2-aecf-90186a8429ba,(375)424-6903x34857,PayPal,pending
eac1047e-f00a-42f0-9aab-83b1fe5658e2,875.677.1636,Debit Card,completed
056cdca4-295f-4312-a3b2-4169ac6eb60f,(917)328-2167,Debit Card,pending
de9c94f7-9a77-463b-bd68-cedbe9fb5825,393-298-6581,PayPal,pending
30ea9c67-4c20-4afe-8627-42c443787fec,(524)916-7698x11642,Credit Card,completed
4912b08e-d89b-4705-9609-a9b1e651070f,(842)227-0512x475,Debit Card,pending
6eb5072a-3c71-4980-b317-1cb47b587a4c,823.267.3908x98150,Debit Card,pending
9260325a-acbb-4182-b952-eb1202095229,8492333690,PayPal,completed
e064cbb3-2672-4af4-805a-12b8d71fc50e,442-271-5009,Credit Card,pending
91a8c11c-36c5-4a5d-8d24-7b4699859c40,636.811.1888,PayPal,pending
1ca12937-3b68-4cc0-ab82-7bc304706138,001-861-422-2488x916,Credit Card,pending
81d59d6a-b8c2-409b-b69a-fef6eb75d999,(773)539-6356x8251,Credit Card,pending
b09ed6de-a4da-4653-8916-cc713173b0a3,001-597-275-3352x79950,PayPal,completed
8ea513c9-21de-4f8f-94b2-989c4977a9a5,909-790-6728,PayPal,pending
8fa1dd9a-d2cd-475d-8609-1e8eaa5e8906,9642319834,PayPal,pending
37157320-f42d-4465-87d4-1fd01d30a364,+1-563-295-3058x766,PayPal,completed
8784aaf0-0ffd-42a7-b97c-429e2877bba0,8668766069,PayPal,pending
cb903c46-384f-472d-8016-d21072e8c541,933.273.2212x335,Credit Card,pending
3e5aff8e-4091-4a33-8d6a-864dad71f15e,+1-845-725-2771x162,Credit Card,completed
b1e094f2-3886-4d97-b227-917a58f0cb67,340-821-4465x3294,PayPal,completed
bc3a23aa-3ae4-4c89-a5ae-a13c61a866b3,001-315-790-5382,Debit Card,completed
