Order_ID,Customer_ID,Customer_Name,Product_ID,Product_Name,Brand,Category,Price,Quantity,Total_Price,Order_Date,Shipping_Address,City,State,Country,Postal_Code,Email,Phone_Number,Payment_Method,Transaction_Status
,,,64b689a8-bf03-47d2-a5cc-0723baeb1606,major,Haynes PLC,perfume,52.34,2,104.68,2020-05-27 14:20:38.292975,"1648 Brown Bridge Apt. 846
Caitlinland, MI 57992",Davidstad,Utah,China,50247,karen64@example.com,001-217-511-0290x8262,Credit Card,completed
,,,64b689a8-bf03-47d2-a5cc-0723baeb1606,major,Haynes PLC,perfume,52.34,2,104.68,2020-05-27 14:20:38.292975,"1648 Brown Bridge Apt. 846
Caitlinland, MI 57992",Davidstad,Utah,China,50247,karen64@example.com,001-217-511-0290x8262,Credit Card,completed
e32af09a-b6ab-497e-af3a-331e4d4ed6e7,e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,Dominic Buchanan,2ef6e8fa-6a36-4515-b1c2-a0a700abf386,despite,"Lawson, Stone and Campos",perfume oil,250.57,2,501.14,2020-03-06 06:49:07.272117,"PSC 2224, Box 2284
APO AP 65880",Jordanborough,Arkansas,Kuwait,27879,margaret97@example.com,259.603.6134,Debit Card,completed
86eb8859-14ab-4d4e-9267-c5826f4e0c8e,fa3ca35a-5540-404b-a7eb-9001cdcbd840,Daniel Allen,3ba38e01-f8e7-4af2-9246-87ef0961d4f5,sea,Washington Group,perfume oil,179.81,6,1078.8600000000001,2020-07-31 07:09:30.231510,"83909 Johnson Mall
Tranberg, MS 99017",Lake Ginatown,Georgia,Saint Vincent and the Grenadines,39336,angela55@example.com,+1-869-659-4272x982,Credit Card,completed
7379b560-8897-4623-92a2-523ddcdc43a1,7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,Daniel Schmidt,a58c53bd-a34b-4541-b926-bec9eb84cac2,suddenly,Rodgers Ltd,perfume oil,600.55,7,4203.849999999999,2021-05-11 04:33:09.707443,"82101 Johnson Flat
West Ryan, MS 29075",Sarahville,Ohio,France,30845,wayne59@example.org,292.840.0975x724,PayPal,pending
30c57f86-2fed-43c0-a399-654c2c3bb18d,4b9b409c-19f2-41c0-bc7c-6556e0647ebb,John Gonzalez,e6021be5-90be-4199-b6c6-82542fb2973c,site,"Wilson, Scott and Johnson",perfume oil,414.36,9,3729.2400000000002,2023-09-12 01:47:56.290477,"4542 Gary Lane
South Alexander, VI 27671",Lake Michelle,Arkansas,Sao Tome and Principe,30955,qsherman@example.com,+1-643-561-3912x262,PayPal,completed
41c29d81-9622-43c1-b537-7cdb320d3e6a,81b513ad-5c02-48cf-bff0-39e1440c4d22,Amber Benitez,60127671-ab32-4fb5-bfeb-1a7782ad835e,act,"Riddle, Alvarez and Robinson",perfume,704.05,9,6336.45,2021-08-20 18:02:04.254156,"6794 Caroline Crescent
East Karlside, GU 81379",Olsenville,Mississippi,Croatia,45429,derek85@example.com,3424148376,PayPal,pending
0b8915d7-0614-47c4-88be-25aae8fa477b,7f6608ca-b11e-497f-9421-34ee62f9e220,Sandra Williams,0d1b37a3-8159-4e28-841b-06971fe73e28,born,Jones-Edwards,perfume oil,951.69,7,6661.83,2020-05-08 13:26:10.974298,"PSC 0419, Box 9123
APO AP 47991",Priceville,South Dakota,Peru,96819,xblack@example.org,833-392-3750x99267,Debit Card,pending
5f05f9e8-57c3-4610-bc41-3c2ccbe3e783,de08452f-8820-4b7e-a394-dba5520a9ce7,Sydney Johnson,9e82b85c-d4d6-4235-91f1-137fb41529ca,sister,"Webb, Wolf and Rogers",perfume,688.47,1,688.47,2022-10-23 08:26:37.744590,"9400 Angela Motorway
Joannaborough, OR 84735",West Peter,Nevada,Solomon Islands,82007,trevorbowers@example.org,824-668-9191,PayPal,completed
0abf28e1-7a76-47d5-9d66-2fe2ca920fda,e1ef782d-6bd8-4880-ae57-f6638c7309fc,Mary Douglas,48ba3e86-167d-4b02-a5e8-0885e946edcb,difference,Johnston-Smith,perfume oil,604.82,4,2419.28,2022-06-27 22:14:28.996406,"63672 Raymond Mill
Cobbview, SD 63353",East Kevin,Maine,Ireland,52315,kyle68@example.com,+1-683-714-3681,PayPal,completed
73129f55-e6fd-45b1-a3ac-fef5fae85dd7,df6652a7-8923-431c-b49b-f57138dc1130,Mrs. Courtney Lawson,74416f33-d5da-409c-b483-ac019b19f5c3,cost,"Edwards, Roberts and Jones",perfume,879.18,5,4395.9,2021-02-02 11:44:28.581746,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293",Crystalborough,New Jersey,Portugal,27390,mcgeechristina@example.net,+1-261-681-8748x0788,PayPal,completed
17647c6b-d1cc-4c86-a1d1-b06641de1574,ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,Eric Ford,69caf9a6-a313-489d-a21e-1bcab6ea430e,specific,"Taylor, Miller and Owens",perfume,844.65,6,5067.9,2020-07-12 19:08:58.490900,"1844 Amy Court
Cristinaport, FM 00824",Heathermouth,Nebraska,Australia,30613,briannadean@example.org,+1-269-289-6161,PayPal,completed
